# clock	walking	resting	collected_food	energy
1	0	20	0	0
2	0	20	0	0
3	4	16	0	-4
4	6	14	0	-10
5	6	14	0	-16
6	6	14	0	-22
7	7	13	0	-29
8	10	10	0	-39
9	11	9	0	-50
10	15	5	0	-65
11	18	2	0	-83
12	18	2	0	-101
13	18	2	0	-119
14	18	2	0	-137
15	18	2	0	-155
16	18	2	0	-173
17	18	2	0	-191
18	18	2	0	-209
19	18	2	0	-227
20	18	2	0	-245
21	19	1	0	-264
22	19	1	0	-283
23	19	1	0	-302
24	19	1	0	-321
25	19	1	0	-340
26	19	1	0	-359
27	19	1	0	-378
28	19	1	0	-397
29	19	1	0	-416
30	19	1	0	-435
31	19	1	0	-454
32	19	1	0	-473
33	20	0	0	-493
34	20	0	0	-513
35	20	0	0	-533
36	20	0	0	-553
37	20	0	0	-573
38	20	0	0	-593
39	20	0	0	-613
40	20	0	0	-633
41	20	0	0	-653
42	20	0	0	-673
43	20	0	0	-693
44	20	0	0	-713
45	20	0	0	-733
46	20	0	0	-753
47	20	0	0	-773
48	20	0	0	-793
49	20	0	0	-813
50	20	0	0	-833
51	20	0	0	-853
52	20	0	0	-873
53	20	0	0	-893
54	20	0	0	-913
55	20	0	0	-933
56	20	0	0	-953
57	20	0	0	-973
58	20	0	0	-993
59	20	0	0	-1013
60	20	0	0	-1033
61	20	0	0	-1053
62	20	0	0	-1073
63	20	0	0	-1093
64	20	0	0	-1113
65	20	0	0	-1133
66	20	0	0	-1153
67	20	0	0	-1173
68	20	0	0	-1193
69	20	0	0	-1213
70	20	0	0	-1233
71	20	0	0	-1253
72	20	0	0	-1273
73	20	0	0	-1293
74	20	0	0	-1313
75	20	0	0	-1333
76	20	0	0	-1353
77	20	0	0	-1373
78	20	0	0	-1393
79	20	0	0	-1413
80	20	0	0	-1433
81	20	0	0	-1453
82	20	0	0	-1473
83	20	0	0	-1493
84	20	0	0	-1513
85	20	0	0	-1533
86	20	0	0	-1553
87	20	0	0	-1573
88	20	0	0	-1593
89	20	0	0	-1613
90	20	0	0	-1633
91	20	0	0	-1653
92	20	0	0	-1673
93	20	0	0	-1693
94	20	0	0	-1713
95	20	0	0	-1733
96	20	0	0	-1753
97	20	0	0	-1773
98	20	0	0	-1793
99	20	0	0	-1813
100	20	0	0	-1833
101	20	0	0	-1853
102	20	0	0	-1873
103	20	0	0	-1893
104	20	0	0	-1913
105	20	0	0	-1933
106	20	0	0	-1953
107	20	0	0	-1973
108	20	0	0	-1993
109	20	0	0	-2013
110	20	0	0	-2033
111	20	0	0	-2053
112	20	0	0	-2073
113	20	0	0	-2093
114	20	0	0	-2113
115	20	0	0	-2133
116	20	0	0	-2153
117	20	0	0	-2173
118	20	0	0	-2193
119	20	0	0	-2213
120	20	0	0	-2233
121	20	0	0	-2253
122	20	0	0	-2273
123	20	0	0	-2293
124	20	0	1	-1313
125	20	0	1	-1333
126	20	0	1	-1353
127	20	0	1	-1373
128	20	0	1	-1393
129	20	0	1	-1413
130	20	0	1	-1433
131	20	0	1	-1453
132	20	0	1	-1473
133	20	0	1	-1493
134	20	0	1	-1513
135	20	0	1	-1533
136	20	0	1	-1553
137	20	0	1	-1573
138	20	0	1	-1593
139	20	0	2	-613
140	20	0	2	-633
141	20	0	3	347
142	20	0	3	327
143	20	0	3	307
144	20	0	3	287
145	20	0	3	267
146	20	0	3	247
147	20	0	3	227
148	20	0	3	207
149	20	0	3	187
150	20	0	3	167
151	20	0	3	147
152	20	0	3	127
153	20	0	3	107
154	20	0	3	87
155	20	0	3	67
156	20	0	3	47
157	20	0	3	27
158	20	0	3	7
159	20	0	3	-13
160	20	0	3	-33
161	20	0	3	-53
162	20	0	3	-73
163	20	0	3	-93
164	20	0	3	-113
165	20	0	3	-133
166	20	0	3	-153
167	20	0	3	-173
168	20	0	3	-193
169	20	0	3	-213
170	20	0	3	-233
171	20	0	3	-253
172	20	0	3	-273
173	20	0	3	-293
174	20	0	3	-313
175	20	0	3	-333
176	20	0	4	647
177	20	0	4	627
178	20	0	4	607
179	20	0	4	587
180	20	0	4	567
181	20	0	4	547
182	20	0	4	527
183	20	0	4	507
184	20	0	4	487
185	20	0	4	467
186	20	0	4	447
187	20	0	4	427
188	20	0	4	407
189	20	0	4	387
190	20	0	4	367
191	20	0	4	347
192	20	0	4	327
193	20	0	4	307
194	20	0	4	287
195	20	0	4	267
196	20	0	4	247
197	19	1	4	228
198	19	1	4	209
199	18	2	4	191
200	18	2	4	173
201	17	3	4	156
202	17	3	4	139
203	17	3	4	122
204	17	3	4	105
205	17	3	4	88
206	17	3	4	71
207	17	3	4	54
208	17	3	4	37
209	17	3	4	20
210	17	3	4	3
211	17	3	4	-14
212	17	3	4	-31
213	17	3	4	-48
214	17	3	4	-65
215	17	3	4	-82
216	17	3	4	-99
217	17	3	4	-116
218	17	3	4	-133
219	17	3	4	-150
220	17	3	4	-167
221	17	3	4	-184
222	17	3	4	-201
223	17	3	4	-218
224	17	3	4	-235
225	17	3	4	-252
226	17	3	4	-269
227	17	3	4	-286
228	17	3	4	-303
229	17	3	4	-320
230	17	3	4	-337
231	17	3	4	-354
232	17	3	4	-371
233	17	3	4	-388
234	16	4	4	-404
235	16	4	4	-420
236	16	4	4	-436
237	16	4	4	-452
238	16	4	4	-468
239	16	4	4	-484
240	16	4	4	-500
241	16	4	4	-516
242	16	4	4	-532
243	16	4	4	-548
244	16	4	4	-564
245	16	4	4	-580
246	16	4	4	-596
247	16	4	4	-612
248	16	4	4	-628
249	16	4	4	-644
250	16	4	4	-660
251	16	4	4	-676
252	16	4	4	-692
253	16	4	4	-708
254	16	4	4	-724
255	16	4	4	-740
256	17	3	4	-757
257	17	3	4	-774
258	17	3	4	-791
259	17	3	4	-808
260	17	3	4	-825
261	17	3	4	-842
262	17	3	4	-859
263	17	3	4	-876
264	17	3	4	-893
265	17	3	4	-910
266	17	3	4	-927
267	17	3	4	-944
268	17	3	4	-961
269	17	3	4	-978
270	17	3	4	-995
271	17	3	4	-1012
272	17	3	4	-1029
273	17	3	4	-1046
274	17	3	4	-1063
275	17	3	4	-1080
276	17	3	4	-1097
277	18	2	4	-1115
278	18	2	4	-1133
279	18	2	4	-1151
280	18	2	4	-1169
281	18	2	4	-1187
282	18	2	4	-1205
283	18	2	4	-1223
284	18	2	4	-1241
285	18	2	4	-1259
286	18	2	4	-1277
287	18	2	4	-1295
288	18	2	4	-1313
289	18	2	4	-1331
290	19	1	4	-1350
291	19	1	4	-1369
292	19	1	4	-1388
293	19	1	4	-1407
294	19	1	4	-1426
295	19	1	4	-1445
296	19	1	4	-1464
297	19	1	4	-1483
298	19	1	5	-502
299	20	0	5	-522
300	20	0	5	-542
